codDaneDpto;Dpto;codDaneMunicipio;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;codCultivo;estadoFisicoCultivo
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2022;B;410.0;400.0;10000.0;25.0;Allium cepa;1051100;En fresco
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2023;A;360.0;340.0;10880.0;32.0;Allium cepa;1051100;En fresco
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2023;B;300.0;150.0;4500.0;30.0;Allium cepa;1051100;En fresco
15;Boyacá;15646;Samacá;Durazno o albaricoque;Durazno o albaricoque;Permanente;Frutales;Caducifolios;2019;C;2.0;0.0;0.0;0.0;Prunus persica L.;2042400;En fresco
15;Boyacá;15646;Samacá;Durazno o albaricoque;Durazno o albaricoque;Permanente;Frutales;Caducifolios;2020;C;2.0;0.0;0.0;0.0;Prunus persica L.;2042400;En fresco
15;Boyacá;15646;Samacá;Durazno o albaricoque;Durazno o albaricoque;Permanente;Frutales;Caducifolios;2021;C;2.0;0.0;0.0;0.0;Prunus persica L.;2042400;En fresco
15;Boyacá;15646;Samacá;Durazno o albaricoque;Durazno o albaricoque;Permanente;Frutales;Caducifolios;2022;C;2.0;0.0;0.0;0.0;Prunus persica L.;2042400;En fresco
15;Boyacá;15646;Samacá;Fresa;Fresa;Permanente;Frutales;Demás frutales;2019;C;2.0;0.0;0.0;0.0;Fragaria vesca;2042700;En fresco
15;Boyacá;15646;Samacá;Fresa;Fresa;Permanente;Frutales;Demás frutales;2020;C;3.0;1.0;4.0;4.0;Fragaria vesca;2042700;En fresco
15;Boyacá;15646;Samacá;Fresa;Fresa;Permanente;Frutales;Demás frutales;2021;C;3.0;3.0;15.0;5.0;Fragaria vesca;2042700;En fresco
15;Boyacá;15646;Samacá;Fresa;Fresa;Permanente;Frutales;Demás frutales;2022;C;3.0;3.0;15.0;5.0;Fragaria vesca;2042700;En fresco
15;Boyacá;15646;Samacá;Fresa;Fresa;Permanente;Frutales;Demás frutales;2023;C;4.0;3.0;120.0;40.0;Fragaria vesca;2042700;En fresco
15;Boyacá;15646;Samacá;Frijol;Frijol;Transitorio;Leguminosas;Leguminosas;2019;A;3.0;3.0;3.0;1.0;Phaseolus vulgaris;1060200;Grano seco
15;Boyacá;15646;Samacá;Frijol;Frijol;Transitorio;Leguminosas;Leguminosas;2020;A;4.0;4.0;4.0;1.0;Phaseolus vulgaris;1060200;Grano seco
15;Boyacá;15646;Samacá;Frijol;Frijol;Transitorio;Leguminosas;Leguminosas;2021;A;4.0;3.5;6.23776223776224;1.78;Phaseolus vulgaris;1060200;Grano seco
15;Boyacá;15646;Samacá;Frijol;Frijol;Transitorio;Leguminosas;Leguminosas;2022;A;9.0;8.5;13.6713286713287;1.61;Phaseolus vulgaris;1060200;Grano seco
15;Boyacá;15646;Samacá;Frijol;Frijol;Transitorio;Leguminosas;Leguminosas;2023;A;5.0;4.0;6.43356643356643;1.61;Phaseolus vulgaris;1060200;Grano seco
